distance_km,traffic_level,weather,hour,delivery_time
9.59,medium,clear,14,57.63
9.23,medium,clear,9,50.96
4.33,high,clear,16,36.43
1.14,medium,clear,18,10.0
9.35,medium,rain,11,79.3
4.85,high,clear,8,38.85
9.7,high,cloudy,14,81.6
9.67,medium,rain,13,76.63
8.68,medium,clear,0,49.65
3.65,low,cloudy,16,21.25
4.47,high,clear,0,36.97
8.66,medium,clear,22,49.42
3.85,low,clear,20,11.69
2.53,high,rain,21,26.67
6.01,medium,clear,12,34.58
9.43,low,clear,7,41.94
7.26,medium,clear,12,43.53
6.13,medium,rain,15,51.96
1.87,high,clear,1,16.29
6.54,low,cloudy,12,33.26
9.91,high,cloudy,17,79.79
2.26,medium,cloudy,2,13.86
5.66,low,rain,12,40.27
8.9,high,cloudy,18,75.64
7.67,medium,clear,12,45.61
7.27,low,clear,18,33.43
7.32,medium,clear,3,43.65
4.24,high,clear,18,27.67
3.64,low,clear,17,15.9
8.28,low,clear,5,37.18
8.29,low,clear,18,39.87
8.8,low,rain,3,55.54
9.22,high,clear,3,67.24
5.6,medium,rain,23,46.72
5.51,low,clear,6,23.19
8.18,low,cloudy,6,38.06
6.85,low,cloudy,22,32.24
7.32,high,clear,15,57.08
8.16,low,clear,15,39.24
9.01,high,clear,4,69.89
4.04,medium,clear,14,24.9
4.38,low,rain,22,28.54
1.85,high,cloudy,3,15.77
6.2,medium,clear,23,37.66
1.32,medium,clear,12,10.0
5.19,high,clear,18,39.93
5.88,low,clear,6,24.37
3.58,low,cloudy,11,20.05
6.32,medium,clear,8,36.68
1.27,low,clear,16,10.0
1.34,low,clear,1,10.0
8.4,low,clear,15,39.83
4.24,low,cloudy,6,22.24
2.14,high,clear,17,17.48
5.7,low,rain,6,34.28
7.93,medium,rain,0,63.4
2.94,medium,clear,2,17.65
6.61,medium,clear,20,37.28
1.77,low,cloudy,10,10.0
1.47,high,rain,21,11.42
5.78,low,cloudy,14,27.64
5.87,high,clear,2,48.5
6.74,high,rain,23,73.06
7.53,medium,clear,12,44.38
9.78,medium,cloudy,3,66.9
5.65,medium,rain,22,41.6
3.91,low,clear,21,15.96
8.16,high,rain,7,86.59
3.44,high,clear,21,28.03
4.95,low,rain,3,32.94
1.71,medium,clear,17,10.0
1.23,high,rain,6,15.17
9.66,high,clear,10,73.09
8.52,medium,cloudy,3,57.25
7.26,medium,clear,12,40.41
4.68,low,clear,8,20.81
2.56,high,clear,8,18.6
2.41,low,cloudy,22,14.04
3.25,medium,clear,20,17.97
5.94,low,clear,18,26.65
7.43,low,clear,2,34.45
6.94,medium,rain,11,57.93
3.52,high,clear,10,28.7
9.59,low,clear,19,43.58
7.64,medium,clear,10,43.86
5.99,low,clear,16,26.26
6.51,low,clear,20,29.35
4.78,medium,clear,13,28.46
3.23,medium,rain,15,26.16
4.2,low,cloudy,23,20.83
7.82,low,clear,9,32.16
1.13,low,clear,3,10.0
2.04,low,cloudy,9,10.46
1.41,high,clear,19,12.79
1.37,high,cloudy,11,11.53
8.7,low,clear,8,35.67
7.33,medium,clear,14,42.16
5.27,high,clear,8,39.92
1.88,low,rain,6,13.33
5.42,high,clear,23,37.32
5.26,high,clear,11,40.32
2.56,low,clear,19,12.55
4.9,low,cloudy,23,22.93
4.59,high,rain,13,49.31
6.54,medium,clear,21,37.0
6.72,low,clear,15,28.78
1.41,low,rain,18,10.0
4.37,medium,clear,22,24.14
6.63,medium,clear,2,40.15
5.53,medium,clear,10,30.88
8.71,high,cloudy,22,71.49
6.93,low,clear,20,34.72
2.47,medium,cloudy,19,17.82
1.64,medium,clear,18,10.0
6.78,medium,clear,7,38.13
1.24,low,cloudy,19,10.0
6.27,high,clear,7,48.61
9.46,high,clear,2,69.39
6.18,medium,cloudy,9,42.09
4.49,medium,rain,12,38.42
6.79,low,rain,8,43.74
5.12,medium,rain,5,44.65
5.91,medium,rain,14,49.31
9.47,medium,clear,15,56.3
4.47,high,clear,4,37.31
9.65,medium,cloudy,20,64.3
9.15,low,clear,12,39.49
2.76,high,cloudy,18,24.49
1.62,low,cloudy,1,10.0
1.91,low,clear,5,10.0
1.16,low,rain,0,10.0
1.85,medium,clear,14,10.0
7.15,high,clear,14,54.45
1.64,medium,rain,13,13.96
3.87,high,clear,6,28.73
8.6,medium,clear,4,50.94
1.21,low,clear,19,10.0
8.33,high,cloudy,15,70.04
3.54,low,cloudy,16,17.97
2.06,low,cloudy,10,12.96
7.27,medium,cloudy,14,47.73
6.66,low,clear,19,30.37
8.9,low,rain,15,54.15
7.62,medium,rain,2,63.75
8.23,medium,clear,5,48.81
3.54,medium,clear,20,23.28
2.6,high,rain,22,27.94
7.76,medium,rain,12,59.92
8.26,high,rain,0,85.06
9.91,low,rain,20,63.9
4.71,medium,clear,13,26.41
4.35,high,cloudy,1,37.48
7.99,medium,clear,1,46.97
4.07,medium,clear,14,23.48
9.38,low,cloudy,17,46.24
8.73,low,clear,8,37.55
4.86,medium,cloudy,2,31.24
7.76,low,clear,3,33.75
7.79,high,clear,14,58.85
1.93,low,clear,4,10.0
9.12,high,clear,19,69.31
5.55,high,clear,19,44.3
8.44,low,clear,4,37.72
3.88,low,rain,9,26.49
9.06,high,clear,15,72.38
4.5,high,clear,11,36.13
1.1,medium,clear,13,10.0
9.15,low,cloudy,21,45.95
1.82,medium,clear,10,12.38
3.87,medium,cloudy,18,25.08
9.55,low,cloudy,5,49.24
9.56,medium,clear,9,57.15
6.16,low,clear,19,27.0
6.69,low,rain,2,43.94
5.04,low,cloudy,21,25.13
3.64,low,cloudy,14,17.81
3.96,low,clear,10,16.87
7.05,medium,clear,21,41.57
7.77,low,clear,1,36.96
8.12,low,clear,23,38.32
8.11,low,clear,5,37.2
1.82,high,cloudy,16,16.51
5.45,medium,clear,17,34.43
1.52,medium,cloudy,3,10.0
5.95,medium,cloudy,22,36.06
4.97,high,clear,8,40.62
8.99,low,cloudy,9,43.44
4.16,medium,clear,20,22.96
2.05,medium,cloudy,1,10.0
2.29,medium,clear,10,14.54
7.85,low,clear,10,32.08
6.56,medium,cloudy,10,40.71
1.91,low,clear,0,10.0
1.76,medium,rain,13,15.86
7.31,medium,clear,0,41.46
1.65,low,clear,20,10.0
8.4,high,clear,22,62.51
7.36,low,clear,8,32.02
1.73,high,clear,23,13.77
1.76,medium,cloudy,0,10.32
9.88,low,cloudy,20,48.42
4.37,low,rain,21,24.6
4.34,high,rain,21,48.75
8.32,low,clear,3,38.46
9.53,low,cloudy,0,48.76
9.87,low,clear,18,47.0
7.78,medium,cloudy,9,48.41
4.39,medium,clear,14,24.96
1.75,low,rain,19,10.0
7.99,low,cloudy,3,45.83
6.03,low,rain,19,37.69
4.82,low,cloudy,13,25.94
9.16,medium,rain,4,72.54
2.0,medium,cloudy,14,14.86
5.43,low,clear,14,28.15
1.1,low,clear,15,10.0
5.22,low,clear,15,21.47
1.51,high,clear,3,11.27
2.07,high,clear,8,11.38
2.06,high,clear,0,15.68
6.84,low,clear,4,32.42
7.71,low,rain,8,48.5
6.25,low,rain,19,38.81
9.66,low,clear,4,44.53
4.37,medium,clear,3,26.77
3.57,high,clear,15,23.99
8.82,high,clear,1,67.65
3.01,high,cloudy,15,30.2
9.67,low,clear,17,40.84
1.11,medium,clear,1,10.0
9.73,low,rain,15,65.18
1.39,low,cloudy,0,10.0
9.02,medium,clear,15,51.74
5.75,low,cloudy,2,28.87
9.94,medium,clear,14,58.14
1.66,low,clear,10,10.0
5.98,medium,clear,9,34.83
9.72,high,clear,16,73.8
5.71,low,clear,3,25.92
6.66,high,clear,16,49.45
7.26,low,cloudy,3,33.38
5.09,medium,cloudy,18,32.67
6.65,medium,clear,0,42.33
6.26,medium,clear,13,36.79
9.11,high,cloudy,23,76.0
1.41,low,clear,10,10.0
3.53,medium,rain,6,28.59
9.55,medium,cloudy,16,65.19
9.01,high,clear,3,68.92
5.1,low,clear,9,24.35
6.58,high,clear,16,48.83
3.5,medium,clear,3,21.48
2.69,low,clear,18,12.66
5.17,medium,cloudy,17,33.16
4.18,low,clear,16,17.81
6.25,medium,clear,5,35.29
1.7,high,clear,6,13.57
9.77,medium,clear,5,58.41
9.88,medium,clear,11,57.54
7.28,medium,clear,8,43.16
5.82,low,clear,17,26.11
3.79,low,cloudy,1,18.96
8.32,medium,clear,16,48.27
7.16,low,cloudy,20,35.48
2.46,low,clear,0,16.47
9.2,medium,clear,22,54.44
8.4,low,clear,8,39.09
9.55,low,cloudy,5,48.15
7.53,medium,clear,1,43.52
6.52,low,clear,5,31.93
4.76,high,clear,8,35.83
9.39,high,clear,2,73.94
8.79,medium,clear,15,50.75
1.41,low,cloudy,23,10.0
1.24,high,clear,14,10.22
4.39,high,cloudy,11,34.73
8.29,high,clear,22,64.49
9.89,low,cloudy,7,46.57
2.35,medium,cloudy,5,14.48
6.35,high,clear,2,45.71
4.43,medium,cloudy,22,34.16
9.73,medium,rain,3,76.38
8.58,medium,clear,9,50.21
8.54,medium,clear,13,52.25
5.22,low,cloudy,20,27.91
4.73,medium,clear,23,29.37
3.46,low,clear,14,14.94
1.51,medium,rain,6,15.07
8.78,low,clear,6,41.34
8.32,medium,cloudy,7,53.96
10.0,low,cloudy,9,49.98
9.97,medium,rain,18,81.05
6.0,high,clear,18,44.08
7.92,low,clear,1,38.11
9.5,low,clear,14,45.37
8.65,low,clear,0,37.16
3.23,high,clear,9,24.4
5.05,medium,clear,5,29.26
2.16,medium,clear,21,12.57
9.59,low,clear,12,43.28
6.46,medium,cloudy,9,43.46
3.06,high,cloudy,11,24.26
7.05,high,cloudy,23,57.63
6.56,medium,rain,5,56.2
4.22,low,clear,5,18.06
2.02,low,rain,0,10.2
7.04,low,rain,11,43.38
5.68,low,clear,22,24.9
7.95,low,clear,22,38.88
5.68,low,clear,9,27.41
8.67,low,clear,13,41.31
5.97,high,clear,14,47.31
6.05,medium,clear,22,37.28
8.89,high,cloudy,23,73.43
4.63,medium,clear,3,26.69
2.21,low,clear,0,10.0
1.26,medium,rain,7,10.0
7.8,low,clear,2,36.47
6.58,medium,rain,13,54.16
7.34,low,clear,16,35.65
2.92,high,rain,1,28.99
2.23,low,clear,14,11.04
1.13,low,clear,5,10.0
4.16,high,clear,4,32.01
6.31,low,cloudy,13,32.72
4.53,medium,rain,18,36.67
4.94,medium,clear,8,30.0
9.14,high,rain,7,95.97
4.13,high,clear,2,28.27
5.63,high,cloudy,17,48.49
8.05,low,cloudy,7,43.34
4.57,high,clear,15,32.97
6.6,medium,clear,14,41.05
8.76,medium,rain,20,71.83
9.55,low,rain,14,57.49
2.32,medium,rain,15,16.74
9.34,high,rain,0,100.06
5.43,high,clear,9,40.73
3.32,medium,cloudy,18,18.74
5.13,low,clear,4,19.7
9.82,low,rain,17,60.17
5.43,high,clear,2,41.93
3.96,medium,clear,3,23.15
6.7,medium,clear,3,38.19
3.16,low,clear,10,14.62
1.68,medium,clear,8,11.91
2.16,medium,rain,0,18.48
2.15,high,cloudy,15,17.85
2.37,medium,clear,8,15.72
2.25,low,cloudy,10,10.0
6.77,medium,cloudy,5,43.12
2.64,low,clear,16,11.48
4.11,high,clear,11,28.97
9.07,low,rain,21,56.3
5.27,medium,cloudy,7,29.76
7.01,low,clear,15,35.37
2.55,medium,cloudy,4,14.53
2.73,medium,clear,20,19.14
1.37,medium,clear,0,10.0
2.52,low,clear,16,12.47
3.51,low,clear,23,14.82
2.59,low,cloudy,20,13.24
1.8,medium,rain,7,16.04
2.09,low,clear,9,10.73
5.15,medium,clear,17,31.68
2.86,high,cloudy,14,23.33
4.28,high,rain,19,44.88
5.53,medium,cloudy,12,32.4
7.21,medium,rain,9,60.1
1.35,low,clear,8,10.0
8.19,medium,cloudy,12,55.93
6.65,high,clear,2,51.48
1.74,low,clear,21,10.0
8.86,medium,clear,22,48.44
9.29,high,clear,2,73.15
1.55,high,rain,0,13.01
3.49,low,rain,1,21.31
8.26,medium,clear,10,47.87
7.73,low,clear,13,34.65
2.66,low,clear,9,12.04
2.88,high,clear,6,22.31
4.33,high,cloudy,22,31.61
5.36,high,rain,0,57.43
6.56,low,rain,6,36.87
4.32,high,cloudy,14,37.82
5.16,medium,cloudy,10,32.09
7.73,low,clear,5,30.47
1.33,medium,clear,21,10.0
3.27,low,clear,6,13.57
7.42,high,clear,6,59.14
9.06,medium,cloudy,0,58.69
5.61,low,clear,9,25.93
5.79,low,clear,20,28.42
1.96,low,clear,14,10.0
5.03,low,rain,7,33.2
5.79,medium,clear,23,35.24
3.18,high,cloudy,18,24.19
3.42,low,cloudy,2,19.87
4.4,low,clear,22,16.96
1.18,medium,clear,14,10.0
3.9,high,rain,3,38.73
2.9,low,clear,5,14.25
3.95,low,rain,9,28.61
2.08,medium,clear,17,11.74
9.01,low,clear,15,40.03
6.34,low,rain,17,41.16
7.11,medium,cloudy,5,45.09
8.1,medium,rain,18,69.98
5.49,medium,cloudy,16,35.71
1.78,medium,rain,17,13.94
5.83,medium,cloudy,12,36.44
6.28,low,cloudy,6,29.22
7.71,low,clear,19,33.44
4.88,low,clear,11,21.26
2.15,low,rain,1,12.57
3.55,medium,clear,11,19.45
4.27,high,clear,11,36.86
6.81,high,clear,23,50.04
6.14,medium,clear,3,36.21
4.2,low,clear,3,20.09
9.88,low,clear,17,45.72
6.45,high,rain,15,68.96
3.14,medium,clear,13,17.89
1.92,medium,clear,16,12.14
2.38,high,clear,16,18.74
3.21,medium,clear,2,18.26
2.45,high,clear,5,15.62
2.68,low,cloudy,22,12.33
3.57,medium,clear,12,18.59
2.56,high,rain,8,26.08
9.07,low,clear,20,40.88
1.72,medium,clear,8,10.78
5.72,low,clear,7,29.3
4.69,high,clear,16,34.8
9.84,low,cloudy,15,50.26
2.01,medium,rain,15,17.07
4.58,low,cloudy,18,25.26
9.73,medium,clear,23,58.07
8.79,low,clear,15,37.54
8.35,low,clear,13,34.13
3.32,medium,rain,19,27.81
2.54,high,clear,13,18.37
7.02,low,cloudy,13,32.79
9.36,low,clear,13,39.58
6.01,high,clear,11,46.3
6.14,medium,clear,5,38.93
3.52,high,clear,19,26.11
7.93,low,cloudy,12,40.43
2.68,medium,clear,15,15.47
3.91,low,cloudy,8,16.78
4.83,low,clear,1,23.2
5.57,medium,rain,21,43.43
3.18,medium,clear,2,18.65
2.03,high,rain,9,21.06
6.5,low,cloudy,19,33.96
3.6,medium,rain,1,27.37
6.23,medium,clear,23,37.23
2.39,high,cloudy,9,18.43
5.33,low,clear,7,22.96
5.79,low,clear,16,18.78
1.47,low,clear,21,10.8
4.03,medium,clear,0,24.68
2.21,low,rain,5,12.39
1.57,high,clear,6,10.0
9.91,low,clear,14,43.6
3.9,high,cloudy,17,34.25
8.29,low,clear,8,33.52
3.29,medium,cloudy,7,20.89
7.13,high,clear,9,58.09
7.84,low,clear,3,33.01
6.36,high,clear,19,48.81
5.24,medium,rain,7,47.32
4.71,high,cloudy,0,40.9
4.14,medium,rain,7,34.16
9.37,low,clear,22,43.18
8.48,low,clear,11,37.36
9.69,low,clear,22,46.2
2.12,low,clear,14,10.0
7.58,low,clear,12,30.19
9.45,low,cloudy,15,45.99
2.63,medium,clear,22,13.45
1.6,high,clear,17,11.68
7.67,low,rain,0,47.8
6.17,low,cloudy,16,32.94
8.58,medium,clear,15,51.58
2.26,low,clear,22,10.7
8.16,low,clear,4,36.71
2.81,low,clear,19,10.53
2.47,high,cloudy,20,16.42
2.48,high,clear,9,19.2
8.33,low,rain,5,54.07
6.99,medium,cloudy,11,44.76
5.71,medium,cloudy,9,35.67
4.23,medium,clear,21,25.67
8.89,medium,clear,16,51.84
4.53,medium,cloudy,1,32.52
8.35,low,clear,18,40.04
4.95,low,clear,19,24.19
4.39,medium,clear,5,27.2
5.16,high,clear,12,36.89
3.71,medium,cloudy,8,25.2
7.73,high,clear,11,59.89
5.52,high,clear,17,43.44
3.09,low,clear,7,14.89
9.1,medium,clear,17,54.14
4.46,medium,rain,22,41.93
5.89,high,rain,21,62.93
9.16,high,clear,1,71.95
6.62,medium,clear,7,37.79
2.05,low,clear,9,10.81
9.46,high,cloudy,8,81.48
6.65,low,clear,23,30.65
4.01,high,cloudy,17,37.08
2.25,high,clear,7,15.44
8.15,low,cloudy,18,39.37
6.58,medium,clear,2,38.92
5.8,medium,cloudy,8,39.08
9.05,medium,clear,12,53.3
8.1,low,cloudy,8,42.67
2.37,high,clear,19,16.81
3.81,high,clear,11,26.87
3.24,high,cloudy,22,27.88
7.7,low,clear,12,34.5
1.3,high,cloudy,7,12.03
6.13,medium,cloudy,14,39.39
7.86,low,clear,12,34.69
8.89,low,clear,20,39.86
4.08,low,clear,12,18.42
8.39,high,clear,16,63.57
2.0,medium,clear,14,11.29
8.62,medium,cloudy,21,54.66
2.15,low,clear,18,11.39
4.58,medium,clear,2,27.18
8.18,low,clear,13,41.32
2.35,low,clear,9,10.9
3.06,medium,clear,16,16.8
7.5,low,cloudy,7,42.47
7.48,high,cloudy,17,63.77
6.77,low,clear,11,32.45
7.25,medium,rain,16,60.56
5.88,medium,clear,22,35.64
3.27,medium,rain,10,27.85
4.11,low,cloudy,8,18.14
2.63,low,cloudy,21,13.75
9.18,high,clear,23,67.58
6.25,low,clear,23,27.78
4.61,high,clear,22,33.82
5.16,high,cloudy,14,44.14
9.53,low,clear,8,43.55
2.38,low,cloudy,11,12.74
6.28,medium,clear,10,37.31
5.55,high,cloudy,16,45.49
6.5,high,clear,5,49.2
1.16,medium,clear,7,10.0
8.85,high,clear,9,69.84
9.39,low,clear,14,39.96
6.09,high,clear,3,43.53
7.27,high,cloudy,17,59.72
9.3,low,clear,10,43.94
7.37,low,clear,8,35.59
2.37,low,cloudy,8,10.0
6.19,low,clear,7,28.47
6.46,high,rain,2,72.86
4.82,low,rain,20,31.2
7.63,low,clear,17,37.18
9.41,low,clear,13,44.34
9.33,high,clear,2,69.55
5.06,medium,cloudy,16,32.18
2.02,medium,clear,3,11.89
9.86,low,cloudy,20,49.02
8.55,high,cloudy,17,73.78
2.12,high,clear,14,17.04
9.29,low,cloudy,18,40.11
8.83,low,cloudy,21,41.08
5.67,low,clear,5,21.14
6.32,low,rain,14,40.17
4.59,medium,cloudy,6,30.02
1.49,high,clear,11,11.96
4.02,medium,clear,15,21.6
8.23,high,clear,8,64.31
1.04,medium,clear,19,10.0
4.0,medium,rain,4,30.25
4.58,medium,clear,10,23.86
5.84,low,cloudy,1,28.91
9.28,low,clear,21,45.34
4.12,medium,clear,15,27.5
4.12,low,rain,3,27.08
7.64,low,rain,4,46.67
5.07,medium,clear,6,31.43
3.02,high,clear,5,22.2
5.07,medium,clear,23,28.12
2.27,high,clear,21,13.08
2.59,medium,clear,9,15.36
5.49,high,clear,13,40.74
4.77,medium,rain,7,39.26
9.23,high,clear,13,66.01
4.26,medium,rain,13,35.23
6.23,medium,cloudy,19,35.23
6.69,medium,clear,22,41.31
1.12,medium,rain,2,10.22
6.97,low,clear,0,30.81
2.6,low,rain,8,17.51
9.65,low,clear,8,41.47
2.34,high,clear,21,18.05
4.73,low,rain,1,31.39
1.77,low,clear,15,10.0
9.97,medium,rain,7,80.76
5.52,low,rain,5,34.73
6.36,medium,clear,22,36.81
1.6,low,clear,12,10.11
7.75,high,clear,0,57.04
2.89,high,cloudy,18,23.08
9.08,high,cloudy,14,72.58
2.85,medium,clear,0,19.69
2.72,high,clear,9,20.32
1.33,low,cloudy,0,10.0
5.25,low,clear,11,23.52
6.08,low,cloudy,10,31.37
1.59,medium,cloudy,16,10.93
7.98,medium,rain,3,70.65
5.08,medium,clear,22,30.63
5.72,low,clear,6,24.81
4.97,medium,clear,11,27.95
4.61,medium,clear,12,26.18
6.04,medium,rain,4,46.46
2.4,medium,clear,5,14.12
2.64,low,cloudy,1,14.63
8.76,high,clear,20,65.79
9.52,medium,clear,6,54.08
4.36,low,clear,13,22.65
3.44,low,cloudy,21,14.18
6.8,medium,clear,13,35.64
4.68,high,clear,9,33.5
1.23,medium,rain,3,10.0
2.41,low,clear,2,11.62
7.44,high,clear,22,56.19
6.93,medium,clear,13,40.1
1.24,medium,clear,5,10.0
3.0,medium,rain,22,23.19
3.08,low,clear,14,15.41
