order_id,restaurant_id,delivery_person_id,distance_km,order_time,delivery_time,traffic_level,weather,vehicle_type,city
66,165,231,1.25,2024-01-23 06:57:00,2024-01-23 07:11:57,Medium,Stormy,Bike,Delhi
67,161,221,6.2,2024-01-24 08:21:00,2024-01-24 09:08:30,High,Clear,Bike,Chennai
68,151,241,6.32,2024-01-22 13:04:00,2024-01-22 13:39:38,Low,Clear,Car,Hyderabad
69,107,252,8.4,2024-01-21 15:49:00,2024-01-21 16:29:26,Low,Clear,Car,Mumbai
70,167,205,3.44,2024-01-16 00:06:00,2024-01-16 00:31:51,Low,Rainy,Car,Hyderabad
71,151,215,1.47,2024-01-23 06:53:00,2024-01-23 07:19:46,High,Stormy,Car,Chennai
72,129,218,9.78,2024-01-12 19:39:00,2024-01-12 21:16:38,High,Rainy,Scooter,Chennai
73,189,289,8.16,2024-01-12 22:54:00,2024-01-13 00:31:04,High,Stormy,Car,Chennai
74,108,211,9.66,2024-01-01 19:10:00,2024-01-01 20:23:10,Low,Stormy,Car,Chennai
75,195,247,4.68,2024-01-01 18:01:00,2024-01-01 18:39:44,High,Clear,Car,Bangalore
76,160,263,2.65,2024-01-03 07:43:00,2024-01-03 08:09:25,High,Clear,Scooter,Delhi
77,185,256,5.99,2024-01-06 15:30:00,2024-01-06 16:07:40,Low,Rainy,Bike,Hyderabad
78,168,246,4.08,2024-01-07 13:15:00,2024-01-07 13:37:58,Medium,Clear,Scooter,Delhi
79,193,222,1.37,2024-01-22 03:25:00,2024-01-22 03:35:00,Medium,Clear,Bike,Chennai
80,168,299,1.43,2024-01-10 18:29:00,2024-01-10 18:44:21,Low,Rainy,Bike,Hyderabad
81,103,215,1.41,2024-01-28 21:18:00,2024-01-28 21:49:19,High,Stormy,Bike,Mumbai
82,101,291,1.64,2024-01-27 20:06:00,2024-01-27 20:17:44,Low,Rainy,Bike,Chennai
83,132,232,6.27,2024-01-01 14:11:00,2024-01-01 14:44:46,Low,Rainy,Bike,Delhi
84,111,266,8.3,2024-01-20 11:54:00,2024-01-20 13:09:07,Medium,Rainy,Bike,Bangalore
85,111,294,8.38,2024-01-03 17:13:00,2024-01-03 18:07:28,Low,Rainy,Bike,Chennai
86,134,286,4.4,2024-01-23 05:16:00,2024-01-23 05:52:50,Medium,Stormy,Scooter,Bangalore
87,133,206,1.64,2024-01-18 14:31:00,2024-01-18 14:48:36,Low,Clear,Scooter,Delhi
88,174,228,2.06,2024-01-17 16:52:00,2024-01-17 17:06:22,Medium,Stormy,Bike,Bangalore
89,109,272,1.35,2024-01-24 06:16:00,2024-01-24 06:27:35,High,Stormy,Car,Delhi
90,135,281,6.12,2024-01-13 03:46:00,2024-01-13 04:32:36,Low,Rainy,Bike,Bangalore
91,136,211,3.25,2024-01-25 05:51:00,2024-01-25 06:29:13,High,Stormy,Car,Chennai
92,122,288,4.86,2024-01-04 22:04:00,2024-01-04 22:49:56,High,Rainy,Car,Bangalore
93,112,258,3.14,2024-01-10 23:57:00,2024-01-11 00:14:06,Medium,Stormy,Car,Chennai
94,111,260,1.9,2024-01-10 16:03:00,2024-01-10 16:23:21,High,Stormy,Car,Delhi
95,194,251,9.15,2024-01-26 15:39:00,2024-01-26 17:09:20,High,Rainy,Bike,Bangalore
96,115,268,6.16,2024-01-04 19:26:00,2024-01-04 20:23:02,Medium,Stormy,Car,Bangalore
97,152,222,3.64,2024-01-17 08:56:00,2024-01-17 09:13:54,Low,Rainy,Scooter,Mumbai
98,152,241,8.03,2024-01-01 17:42:00,2024-01-01 18:58:30,Medium,Stormy,Car,Delhi
99,186,292,9.77,2024-01-16 22:05:00,2024-01-16 23:41:14,High,Stormy,Car,Chennai
100,175,208,4.16,2024-01-05 17:21:00,2024-01-05 17:59:48,Medium,Clear,Scooter,Hyderabad
101,145,212,7.85,2024-01-25 12:27:00,2024-01-25 13:52:59,High,Stormy,Bike,Bangalore
102,126,265,3.0,2024-01-20 03:29:00,2024-01-20 03:58:16,High,Rainy,Scooter,Mumbai
103,185,216,1.73,2024-01-19 17:22:00,2024-01-19 17:37:41,Low,Clear,Car,Hyderabad
104,144,203,9.53,2024-01-26 18:00:00,2024-01-26 19:20:05,Medium,Rainy,Bike,Bangalore
105,189,218,4.15,2024-01-17 12:43:00,2024-01-17 13:01:26,Low,Rainy,Scooter,Delhi
106,112,291,2.0,2024-01-15 08:12:00,2024-01-15 08:39:10,High,Rainy,Car,Chennai
107,176,291,6.14,2024-01-22 01:55:00,2024-01-22 02:52:11,Medium,Rainy,Bike,Hyderabad
108,124,255,9.66,2024-01-24 14:22:00,2024-01-24 15:46:59,High,Clear,Scooter,Delhi
109,135,298,5.76,2024-01-02 11:05:00,2024-01-02 12:09:01,High,Stormy,Car,Bangalore
110,148,213,7.26,2024-01-05 07:10:00,2024-01-05 08:06:41,Low,Stormy,Scooter,Hyderabad
111,186,256,3.65,2024-01-30 09:56:00,2024-01-30 10:17:47,Medium,Clear,Bike,Mumbai
112,195,215,9.24,2024-01-24 16:41:00,2024-01-24 18:06:14,High,Clear,Bike,Hyderabad
113,191,235,9.01,2024-01-17 15:19:00,2024-01-17 16:13:54,Low,Rainy,Car,Bangalore
114,159,249,5.17,2024-01-14 06:49:00,2024-01-14 07:36:20,High,Clear,Car,Bangalore
115,132,283,3.39,2024-01-27 04:52:00,2024-01-27 05:21:46,Medium,Rainy,Car,Mumbai
116,128,212,6.43,2024-01-22 20:31:00,2024-01-22 21:33:37,Medium,Rainy,Car,Mumbai
117,124,265,9.2,2024-01-04 23:13:00,2024-01-05 01:01:53,High,Stormy,Car,Mumbai
118,104,232,1.74,2024-01-17 12:33:00,2024-01-17 12:43:20,High,Stormy,Car,Delhi
119,185,258,8.0,2024-01-25 06:41:00,2024-01-25 07:34:50,Low,Stormy,Car,Hyderabad
120,197,298,8.58,2024-01-15 03:44:00,2024-01-15 05:11:04,Medium,Stormy,Car,Hyderabad
121,152,236,2.2,2024-01-01 06:44:00,2024-01-01 06:59:12,Low,Rainy,Car,Mumbai
122,184,277,7.81,2024-01-10 08:16:00,2024-01-10 09:17:09,Low,Stormy,Scooter,Mumbai
123,161,264,2.85,2024-01-25 04:16:00,2024-01-25 04:37:07,Medium,Clear,Car,Bangalore
124,133,291,7.05,2024-01-30 17:03:00,2024-01-30 17:56:19,Medium,Clear,Bike,Delhi
125,102,249,3.42,2024-01-11 01:29:00,2024-01-11 01:48:57,High,Stormy,Car,Bangalore
126,104,293,8.67,2024-01-06 20:27:00,2024-01-06 21:25:28,Low,Rainy,Car,Chennai
127,122,278,8.89,2024-01-30 17:28:00,2024-01-30 18:18:31,Low,Clear,Car,Mumbai
128,165,274,8.06,2024-01-09 10:53:00,2024-01-09 12:01:18,Low,Rainy,Car,Delhi
129,149,297,2.92,2024-01-11 23:01:00,2024-01-11 23:23:02,Medium,Clear,Scooter,Hyderabad
130,190,250,6.73,2024-01-19 00:14:00,2024-01-19 01:09:58,Medium,Rainy,Scooter,Delhi
131,178,229,9.14,2024-01-13 07:15:00,2024-01-13 08:20:31,Medium,Rainy,Bike,Chennai
132,104,228,6.6,2024-01-30 22:08:00,2024-01-30 23:19:34,Medium,Stormy,Bike,Chennai
133,187,268,2.32,2024-01-14 18:56:00,2024-01-14 19:12:49,High,Stormy,Scooter,Hyderabad
134,165,276,9.82,2024-01-10 23:48:00,2024-01-11 01:09:01,Medium,Rainy,Scooter,Chennai
135,122,254,2.88,2024-01-09 08:15:00,2024-01-09 08:41:37,High,Clear,Scooter,Chennai
136,115,207,6.26,2024-01-05 05:30:00,2024-01-05 06:11:31,Medium,Rainy,Bike,Mumbai
137,126,292,2.62,2024-01-30 15:19:00,2024-01-30 15:39:42,Low,Clear,Car,Delhi
138,150,218,9.76,2024-01-20 22:52:00,2024-01-21 00:22:10,Medium,Stormy,Scooter,Hyderabad
139,120,269,8.4,2024-01-16 06:09:00,2024-01-16 07:23:32,Medium,Stormy,Car,Delhi
140,111,289,2.09,2024-01-28 04:24:00,2024-01-28 04:36:15,Medium,Clear,Car,Mumbai
141,172,225,9.05,2024-01-30 19:28:00,2024-01-30 20:40:16,Low,Rainy,Scooter,Hyderabad
142,185,255,8.19,2024-01-04 15:20:00,2024-01-04 16:24:03,Low,Stormy,Car,Hyderabad
143,146,255,8.86,2024-01-14 09:02:00,2024-01-14 10:11:59,Low,Stormy,Scooter,Hyderabad
144,186,277,5.36,2024-01-20 22:19:00,2024-01-20 23:10:57,High,Rainy,Scooter,Bangalore
145,122,217,5.16,2024-01-12 15:08:00,2024-01-12 15:58:17,Medium,Stormy,Scooter,Chennai
146,114,263,5.03,2024-01-28 12:50:00,2024-01-28 13:28:19,High,Clear,Bike,Delhi
147,143,224,3.42,2024-01-08 03:07:00,2024-01-08 03:36:48,High,Rainy,Car,Bangalore
148,167,209,9.01,2024-01-05 06:48:00,2024-01-05 08:20:58,High,Stormy,Car,Chennai
149,107,239,8.1,2024-01-19 13:34:00,2024-01-19 14:37:42,Low,Rainy,Scooter,Mumbai
150,141,240,4.88,2024-01-05 16:18:00,2024-01-05 17:06:27,Medium,Stormy,Car,Hyderabad
151,155,258,4.04,2024-01-14 06:43:00,2024-01-14 07:25:26,Medium,Stormy,Car,Mumbai
152,132,252,9.88,2024-01-03 15:32:00,2024-01-03 17:03:21,Medium,Rainy,Bike,Hyderabad
153,174,261,1.92,2024-01-02 02:45:00,2024-01-02 02:55:00,Low,Rainy,Car,Bangalore
154,123,254,3.57,2024-01-10 15:58:00,2024-01-10 16:16:59,Low,Clear,Scooter,Hyderabad
155,178,205,8.58,2024-01-18 05:38:00,2024-01-18 07:04:52,High,Rainy,Scooter,Hyderabad
156,150,261,9.78,2024-01-14 03:35:00,2024-01-14 05:07:16,Medium,Stormy,Bike,Delhi
157,144,243,9.36,2024-01-01 14:06:00,2024-01-01 15:10:16,Low,Stormy,Bike,Chennai
158,167,218,2.85,2024-01-21 21:45:00,2024-01-21 22:29:12,High,Stormy,Car,Delhi
159,113,263,2.8,2024-01-26 16:16:00,2024-01-26 16:47:04,Low,Stormy,Scooter,Delhi
160,110,299,1.79,2024-01-02 07:57:00,2024-01-02 08:13:09,Medium,Rainy,Bike,Hyderabad
161,104,222,3.89,2024-01-14 23:28:00,2024-01-14 23:56:28,Medium,Rainy,Car,Delhi
162,112,239,5.94,2024-01-28 15:29:00,2024-01-28 15:53:56,Low,Clear,Scooter,Bangalore
163,137,234,8.29,2024-01-06 21:52:00,2024-01-06 22:41:22,Low,Clear,Bike,Delhi
164,168,261,4.14,2024-01-29 07:12:00,2024-01-29 07:41:09,Medium,Rainy,Scooter,Delhi
165,108,233,7.71,2024-01-30 19:29:00,2024-01-30 20:45:20,High,Rainy,Bike,Chennai
166,163,221,2.63,2024-01-04 18:15:00,2024-01-04 18:30:54,Medium,Clear,Car,Hyderabad
167,113,259,1.43,2024-01-16 04:12:00,2024-01-16 04:22:16,Low,Clear,Car,Bangalore
168,136,204,2.47,2024-01-15 17:24:00,2024-01-15 17:38:59,Low,Rainy,Car,Mumbai
169,141,288,3.12,2024-01-01 01:17:00,2024-01-01 01:31:47,Medium,Rainy,Scooter,Hyderabad
170,113,231,7.15,2024-01-07 14:30:00,2024-01-07 15:49:52,High,Stormy,Bike,Delhi
171,196,224,5.16,2024-01-05 13:25:00,2024-01-05 14:09:42,High,Stormy,Car,Delhi
172,165,277,4.2,2024-01-08 19:26:00,2024-01-08 20:02:32,Low,Rainy,Scooter,Chennai
173,105,266,1.6,2024-01-19 13:27:00,2024-01-19 13:37:00,High,Clear,Bike,Mumbai
174,141,263,6.65,2024-01-18 00:39:00,2024-01-18 01:28:18,Medium,Clear,Bike,Mumbai
175,126,235,2.5,2024-01-05 00:28:00,2024-01-05 01:00:40,High,Rainy,Car,Chennai
176,196,226,9.98,2024-01-23 08:24:00,2024-01-23 09:23:43,Low,Clear,Car,Chennai
177,104,273,7.7,2024-01-27 11:41:00,2024-01-27 12:48:58,High,Clear,Car,Mumbai
178,146,299,4.08,2024-01-17 11:10:00,2024-01-17 11:39:43,High,Clear,Car,Delhi
179,128,246,5.11,2024-01-29 05:11:00,2024-01-29 06:14:42,Medium,Stormy,Bike,Bangalore
180,101,226,4.68,2024-01-03 14:36:00,2024-01-03 15:16:13,High,Clear,Bike,Delhi
181,126,268,6.77,2024-01-28 13:06:00,2024-01-28 13:55:09,Low,Clear,Bike,Hyderabad
182,137,205,8.44,2024-01-10 19:53:00,2024-01-10 21:05:28,Medium,Rainy,Car,Chennai
183,189,212,4.61,2024-01-01 13:34:00,2024-01-01 14:05:43,Low,Clear,Bike,Chennai
184,196,259,2.25,2024-01-13 01:28:00,2024-01-13 01:38:00,Low,Clear,Scooter,Chennai
185,136,271,6.34,2024-01-28 17:15:00,2024-01-28 18:07:39,Low,Rainy,Scooter,Chennai
186,191,230,6.86,2024-01-20 04:32:00,2024-01-20 05:16:06,Low,Clear,Scooter,Bangalore
187,185,210,6.46,2024-01-15 06:10:00,2024-01-15 07:04:24,Medium,Rainy,Car,Mumbai
188,120,289,5.06,2024-01-08 16:13:00,2024-01-08 16:56:00,High,Clear,Car,Chennai
189,139,214,8.55,2024-01-14 08:56:00,2024-01-14 09:51:23,Medium,Clear,Car,Chennai
190,108,273,4.59,2024-01-07 14:44:00,2024-01-07 15:22:50,High,Rainy,Bike,Chennai
191,124,289,8.23,2024-01-26 16:20:00,2024-01-26 17:12:12,Low,Rainy,Bike,Chennai
192,106,281,9.28,2024-01-06 22:57:00,2024-01-07 00:39:34,High,Stormy,Bike,Bangalore
193,150,253,5.33,2024-01-26 06:08:00,2024-01-26 06:47:21,Low,Stormy,Car,Chennai
194,151,269,2.59,2024-01-02 09:10:00,2024-01-02 09:35:25,High,Rainy,Scooter,Chennai
195,127,284,1.3,2024-01-26 19:08:00,2024-01-26 19:31:26,High,Stormy,Car,Bangalore
196,183,248,5.64,2024-01-04 10:24:00,2024-01-04 11:31:13,High,Stormy,Scooter,Delhi
197,112,293,6.02,2024-01-18 07:17:00,2024-01-18 08:19:42,Medium,Rainy,Car,Chennai
198,155,282,7.75,2024-01-17 23:22:00,2024-01-18 00:27:23,High,Clear,Car,Bangalore
199,117,200,4.14,2024-01-02 21:17:00,2024-01-02 22:04:37,High,Clear,Bike,Mumbai
200,191,293,7.98,2024-01-21 01:05:00,2024-01-21 02:06:29,High,Clear,Bike,Chennai
201,173,282,6.04,2024-01-09 13:42:00,2024-01-09 14:22:55,Low,Rainy,Bike,Mumbai
202,191,231,6.8,2024-01-12 09:58:00,2024-01-12 10:53:40,Low,Stormy,Bike,Bangalore
203,166,287,7.44,2024-01-11 21:48:00,2024-01-11 22:45:26,Low,Rainy,Car,Mumbai
204,153,266,2.77,2024-01-06 21:59:00,2024-01-06 22:14:53,High,Rainy,Bike,Chennai
205,195,287,8.99,2024-01-14 22:19:00,2024-01-14 23:31:41,Medium,Rainy,Scooter,Chennai
206,115,267,7.5,2024-01-14 03:22:00,2024-01-14 04:14:51,Medium,Clear,Car,Bangalore
207,106,273,9.5,2024-01-15 20:29:00,2024-01-15 22:03:44,High,Rainy,Car,Hyderabad
208,184,218,1.77,2024-01-02 12:38:00,2024-01-02 12:51:06,Medium,Rainy,Car,Chennai
209,101,200,2.1,2024-01-30 01:54:00,2024-01-30 02:04:00,Low,Rainy,Bike,Bangalore
210,110,201,8.36,2024-01-16 13:39:00,2024-01-16 14:57:02,Medium,Rainy,Scooter,Delhi
211,137,293,4.27,2024-01-08 21:42:00,2024-01-08 22:32:24,High,Stormy,Bike,Bangalore
212,198,285,4.26,2024-01-05 22:03:00,2024-01-05 22:37:05,High,Rainy,Scooter,Delhi
213,195,280,8.02,2024-01-14 05:43:00,2024-01-14 06:50:16,High,Clear,Bike,Mumbai
214,113,208,5.36,2024-01-20 08:16:00,2024-01-20 09:09:26,High,Rainy,Bike,Mumbai
215,121,203,5.87,2024-01-29 14:36:00,2024-01-29 15:17:48,Medium,Rainy,Bike,Mumbai
216,197,286,2.19,2024-01-08 21:32:00,2024-01-08 21:50:09,Medium,Stormy,Scooter,Hyderabad
217,140,237,7.15,2024-01-23 03:29:00,2024-01-23 04:42:39,Medium,Stormy,Bike,Bangalore
218,124,275,1.6,2024-01-16 09:40:00,2024-01-16 09:55:36,Medium,Stormy,Scooter,Mumbai
219,130,205,2.86,2024-01-29 08:09:00,2024-01-29 08:33:38,Medium,Stormy,Bike,Hyderabad
220,152,270,7.59,2024-01-22 12:27:00,2024-01-22 13:46:39,High,Stormy,Scooter,Mumbai
221,145,263,6.16,2024-01-09 02:24:00,2024-01-09 02:57:17,Low,Rainy,Bike,Delhi
222,164,250,4.18,2024-01-27 21:09:00,2024-01-27 21:27:40,Low,Clear,Scooter,Delhi
223,139,210,1.81,2024-01-16 04:34:00,2024-01-16 04:45:55,Medium,Rainy,Bike,Hyderabad
224,158,238,4.2,2024-01-18 20:32:00,2024-01-18 20:57:43,Low,Stormy,Car,Chennai
225,121,268,6.49,2024-01-20 23:29:00,2024-01-21 00:16:22,Low,Rainy,Car,Chennai
226,119,282,5.35,2024-01-29 02:43:00,2024-01-29 03:34:05,High,Rainy,Scooter,Bangalore
227,165,272,6.36,2024-01-12 00:10:00,2024-01-12 01:01:28,Low,Stormy,Bike,Delhi
228,100,288,1.68,2024-01-27 07:44:00,2024-01-27 07:54:59,High,Rainy,Scooter,Mumbai
229,102,243,7.34,2024-01-13 12:23:00,2024-01-13 13:12:27,Low,Stormy,Scooter,Delhi
230,197,211,9.71,2024-01-15 07:01:00,2024-01-15 08:32:47,High,Rainy,Bike,Bangalore
231,111,261,4.25,2024-01-03 20:10:00,2024-01-03 20:52:08,High,Rainy,Car,Hyderabad
232,107,294,9.62,2024-01-01 05:38:00,2024-01-01 07:07:22,Medium,Rainy,Bike,Hyderabad
233,171,224,8.26,2024-01-02 05:10:00,2024-01-02 06:23:34,High,Clear,Scooter,Bangalore
234,158,225,9.13,2024-01-09 06:38:00,2024-01-09 08:13:02,High,Rainy,Bike,Bangalore
235,122,225,1.46,2024-01-20 09:35:00,2024-01-20 09:49:14,Medium,Rainy,Scooter,Bangalore
236,106,213,6.11,2024-01-21 02:01:00,2024-01-21 02:52:37,Medium,Rainy,Scooter,Mumbai
237,158,286,2.08,2024-01-17 17:10:00,2024-01-17 17:34:56,High,Stormy,Scooter,Hyderabad
238,193,238,8.16,2024-01-26 01:02:00,2024-01-26 02:09:28,High,Clear,Bike,Chennai
239,159,244,5.1,2024-01-13 09:30:00,2024-01-13 09:59:41,Medium,Clear,Car,Chennai
240,139,289,1.69,2024-01-21 17:46:00,2024-01-21 18:00:40,Medium,Clear,Car,Delhi
241,103,292,7.52,2024-01-09 18:51:00,2024-01-09 19:51:48,Medium,Clear,Car,Chennai
242,181,232,6.95,2024-01-06 06:04:00,2024-01-06 06:47:17,Low,Clear,Car,Mumbai
243,198,241,8.97,2024-01-10 12:57:00,2024-01-10 13:57:48,Low,Rainy,Scooter,Bangalore
244,112,212,9.91,2024-01-26 18:34:00,2024-01-26 19:47:21,Low,Rainy,Scooter,Delhi
245,192,261,4.46,2024-01-10 15:59:00,2024-01-10 16:39:54,Low,Stormy,Scooter,Delhi
246,115,255,5.32,2024-01-10 00:24:00,2024-01-10 00:57:17,Low,Rainy,Scooter,Mumbai
247,183,204,3.45,2024-01-08 08:56:00,2024-01-08 09:22:20,Medium,Rainy,Car,Mumbai
248,102,244,7.59,2024-01-14 23:44:00,2024-01-15 00:55:01,High,Clear,Bike,Delhi
249,136,224,4.19,2024-01-23 12:13:00,2024-01-23 12:55:44,High,Rainy,Scooter,Mumbai
250,178,272,3.5,2024-01-18 01:17:00,2024-01-18 01:48:01,Low,Stormy,Scooter,Bangalore
251,169,238,1.99,2024-01-17 14:15:00,2024-01-17 14:30:23,Medium,Stormy,Bike,Bangalore
252,161,276,8.91,2024-01-29 10:50:00,2024-01-29 11:55:29,Low,Rainy,Scooter,Hyderabad
253,173,297,9.9,2024-01-17 20:22:00,2024-01-17 21:44:48,Medium,Rainy,Scooter,Chennai
254,102,205,4.46,2024-01-13 00:40:00,2024-01-13 01:17:15,Low,Stormy,Bike,Chennai
255,149,281,8.21,2024-01-06 17:25:00,2024-01-06 18:32:05,High,Clear,Bike,Mumbai
256,131,298,7.26,2024-01-18 01:38:00,2024-01-18 02:15:41,Low,Clear,Bike,Chennai
257,191,228,3.02,2024-01-06 01:27:00,2024-01-06 01:40:46,Medium,Rainy,Bike,Delhi
258,197,275,9.0,2024-01-27 05:44:00,2024-01-27 06:44:24,Medium,Clear,Bike,Hyderabad
259,187,278,1.32,2024-01-30 12:40:00,2024-01-30 12:50:00,Low,Rainy,Car,Mumbai
260,104,247,1.05,2024-01-16 02:34:00,2024-01-16 02:44:40,High,Rainy,Car,Chennai
